date,total_stargazers,repo_count,captured_at
2026-06-06,180,104,2026-06-06T20:04:11Z
2026-06-07,180,104,2026-06-07T01:23:42Z
2026-06-08,180,104,2026-06-08T01:24:07Z
2026-06-09,180,104,2026-06-09T01:14:18Z
2026-06-10,179,104,2026-06-10T01:20:24Z
2026-06-11,179,104,2026-06-11T01:22:44Z
2026-06-12,179,104,2026-06-12T01:25:20Z
2026-06-13,179,104,2026-06-13T01:23:15Z
2026-06-14,179,104,2026-06-14T01:26:16Z
2026-06-15,179,104,2026-06-15T01:28:13Z
2026-06-16,179,104,2026-06-16T15:27:32Z
2026-06-17,179,104,2026-06-17T01:27:13Z
2026-06-18,179,104,2026-06-18T01:24:45Z
2026-06-19,179,104,2026-06-19T01:30:45Z
2026-06-20,180,104,2026-06-20T01:19:09Z
